card_id,tier_group,price,tier,age_days,log_price,weight,premium_log,true_log_value,tier_fair_usd,ask_vs_fair,name,version,rarity,true_value_usd,deal_pct
crd_77b92f4bb7d2460ea85b9d547cb8e72f,graded,4150.0,PSA_10,2.0,8.330863613224745,0.47742080195520825,1.8374737602039684,7.693612249126989,13781.549851588596,-1.2002223961062128,Minnie Mouse,Sweetheart Princess,Iconic,2194.2865733062567,-0.698872765059756
crd_5b53a4c5b3854ab0ba71dd388aaa0d9f,graded,2150.0,PSA_10,9.0,7.673223121121708,0.4061261981781178,1.8374737602039684,7.03163684286854,7108.955477489186,-1.1958874819508,Ariel,Ethereal Voice,Iconic,1131.8818073780278,-0.697564570940405
crd_4d10d4cd91454ff389318fd9a19a879f,graded,6480.0,PSA_10,1.0,8.776475789346321,0.48857998421712295,1.8374737602039684,8.130197178021778,21325.75845557708,-1.1911951488794248,Mickey Mouse,Brave Little Prince,Iconic,3395.4690110017727,-0.6961421084507611
crd_40a3f6d8de604ff085fa5629597780a3,graded,1924.0,PSA_10,5.0,7.562161631225652,0.44544935907016964,1.8374737602039684,6.911200382584319,6302.326581070386,-1.1865125115626354,Pocahontas,Peacekeeper,Iconic,1003.4510447923094,-0.6947159155828404
crd_9a1c82a2d3dd4ef898fb86f089242018,graded,164.26,PSA_10,6.0,5.101450538312046,0.43527528164806206,1.8374737602039684,4.444165919088938,534.6646239950448,-1.1801891409808603,Baloo,Carefree Bear,Enchanted,85.12884387374834,-0.6927793749048893
crd_3c235410b79145c080fa8e3b000a2c60,graded,2500.0,BGS_10,1.0,7.824046010856292,0.48857998421712295,2.7612936197634506,6.240918127371316,8121.025734290746,-1.1781657362784737,Cinderella,Dream Come True,Enchanted,513.329596604566,-0.6921571139168003
crd_b35b509f95d441c1bd11ec67d755db5d,graded,1045.0,PSA_10,2.0,6.951772164398911,0.47742080195520825,1.8374737602039684,6.290386379146,3387.5429339958905,-1.1760879749510567,Elsa,Ice Artisan,Enchanted,539.36168693747,-0.6915168249196667
crd_0a9db863f78c46429d3f1835d046bb2e,graded,202.5,PSA_10,6.0,5.310739886546594,0.43527528164806206,1.8374737602039684,4.641699057784507,651.4318706199583,-1.168432931441881,Robin Hood,Champion of Sherwood,Enchanted,103.72042495353912,-0.6891463111755897
crd_ee5abfdfaa9d469e93dd20e1253ed1d0,graded,91.85,PSA_10,6.0,4.520156811661135,0.43527528164806206,1.8374737602039684,3.8459088048766024,293.942028252383,-1.163225753419436,Lady Tremaine,Sinister Socialite,Enchanted,46.801198186738354,-0.6875234190017352
crd_580ca4f029554dd68409aac983fdae69,graded,202.5,PSA_10,0.0,5.310739886546594,0.5,1.8374737602039684,4.632513143154335,645.4752733513258,-1.159247016811709,Negaduck,Public Enemy Number One,Enchanted,102.77202063400269,-0.6862776804003438
