id,tcgplayer_id,name,version,set_name,rarity,true_value_usd,true_value_se,fair_structural_usd,fair_full_usd,fair_char_usd,delta_structural,delta_full,delta_char,premium_component,fame_premium,mispricing_pct,umap_x,umap_y
crd_ee5abfdfaa9d469e93dd20e1253ed1d0,660042,Lady Tremaine,Sinister Socialite,Whispers in the Well,Enchanted,46.801198186738354,0.11122695537225877,192.0555807796108,158.00675424385184,130.00237408530086,-1.411876008486134,-1.2167289756154878,-1.0216439076068502,-0.19514703287064616,-0.19508506800863742,-0.6399973576172553,11.056785,6.8384643
crd_b8f5f89ae4fa49e29637b1fffd9c9e4c,592013,Yzma,Conniving Chemist,Azurite Sea,Enchanted,45.82752617687896,0.11016794646522235,112.55845288430456,121.21728208027666,121.21728208027666,-0.8985877490868996,-0.9726997360756253,-0.9726997360756253,0.07411198698872568,0.0,-0.6219390058050511,14.174,6.9543314
crd_cb38cec5fa8e49139bb0377111d6d048,561977,Archimedes,Electrified Owl,Shimmering Skies,Enchanted,45.334465618993406,0.0960699896833771,162.1311648036525,118.54846599975853,118.54846599975853,-1.2743380932713442,-0.9612542990921784,-0.9612542990921784,-0.31308379417916576,0.0,-0.6175870751538384,14.773186,6.4610624
crd_c9f08696c3cd44bf96e2a149bb3cfb12,539169,Belle's House,Maurice's Workshop,Into the Inklands,Enchanted,22.41307957046544,0.11841199786538392,52.86697078333225,56.7878319407623,56.7878319407623,-0.8581340751901259,-0.92967737853431,-0.92967737853431,0.07154330334418413,0.0,-0.6053189775963724,10.135856,7.6619496
crd_b1ea1c67fc224e968a4906149590585c,592036,Raya,Kumandran Rider,Azurite Sea,Enchanted,33.841607119106264,0.10643825736340352,103.1777999024425,83.12404681352453,83.12404681352453,-1.114762687372354,-0.8986430066956195,-0.8986430066956195,-0.21611968067673448,0.0,-0.5928782534490352,11.637643,6.784413
crd_ad5f241dfb68479189af1ac3802327d7,619750,Restoring Atlantis,,Archazia's Island,Enchanted,35.21396490356119,0.10838924747757697,79.41914350137519,86.14022062133245,86.14022062133245,-0.8132967070828645,-0.8945337066753938,-0.8945337066753938,0.08123699959252928,0.0,-0.591201825934951,12.120233,10.250132
crd_98e2f67c2ee14092be9f89b31f20db4e,590822,Wreck-It Ralph,Ham Hands,Azurite Sea,Enchanted,54.40064290317134,0.09653272859509572,134.03156446602134,139.03772669081633,128.65496789252566,-0.90169935606353,-0.9383693394810702,-0.860758181682812,0.03666998341754013,-0.07761115779825824,-0.577158629827525,13.014194,5.8152876
crd_d7a644695e604c958aee5d0ba8fa8415,561979,Revive,,Shimmering Skies,Enchanted,36.36740563397441,0.10420822387127883,77.97996802096714,82.82689421401673,82.82689421401673,-0.7627790495895082,-0.8230798941279995,-0.8230798941279995,0.06030084453849138,0.0,-0.5609227415915834,11.888571,10.049112
crd_45acf301d7e2469fb961cc1f06bd2889,551943,Second Star to the Right,,Ursula's Return,Enchanted,65.09220728394217,0.09745003144796208,123.67032247784586,143.0779142644712,143.0779142644712,-0.6418144970480846,-0.7875844986068561,-0.7875844986068561,0.1457700015587715,0.0,-0.5450576169035913,14.090355,9.92859
crd_ae2a969b746542268ff0bcfc735ea367,550536,The Wall,Border Fortress,Ursula's Return,Enchanted,19.935482109604887,0.10681266603475494,42.67252384128614,43.080594765972144,43.080594765972144,-0.7610540787405657,-0.7705714936545589,-0.7705714936545589,0.00951741491399316,0.0,-0.5372514651225004,10.271719,7.484753
crd_68c45595c25041f3bcf2073a5b533edd,550844,Ursula,Sea Witch Queen,Ursula's Return,Enchanted,58.413634902292166,0.07559948407203776,100.1041573419467,136.95034654069397,123.8983598336357,-0.5386618804087258,-0.8520690891859086,-0.7519122137861087,0.31340720877718287,-0.1001568753997995,-0.5285358500247544,14.384217,5.8745213
