card_id,date,price,name,set_name,rarity,released_at,cost,inkwell,ink_clean,days_since_release,card_min_price,card_max_price,price_scaled,cost_scaled,days_scaled,name_idx,set_idx,rarity_idx,ink_idx,churn_rate,ebay_mask
510148,2025-04-20,89.26,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,611,62.79,118.97,0.47116411534353875,0.7777777777777778,0.573170731707317,45,7,0,0,0,0
510148,2025-04-21,89.26,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,612,62.79,118.97,0.47116411534353875,0.7777777777777778,0.574108818011257,45,7,0,0,0,0
510148,2025-04-22,89.1,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,613,62.79,118.97,0.468316126735493,0.7777777777777778,0.575046904315197,45,7,0,0,0,0
510148,2025-04-23,89.1,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,614,62.79,118.97,0.468316126735493,0.7777777777777778,0.575984990619137,45,7,0,0,0,0
510148,2025-04-24,89.1,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,615,62.79,118.97,0.468316126735493,0.7777777777777778,0.5769230769230769,45,7,0,0,0,0
510148,2025-04-25,89.1,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,616,62.79,118.97,0.468316126735493,0.7777777777777778,0.5778611632270169,45,7,0,0,0,0
510148,2025-04-26,89.1,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,617,62.79,118.97,0.468316126735493,0.7777777777777778,0.5787992495309568,45,7,0,0,0,0
510148,2025-04-27,89.1,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,618,62.79,118.97,0.468316126735493,0.7777777777777778,0.5797373358348968,45,7,0,0,0,0
510148,2025-04-28,88.92,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,619,62.79,118.97,0.4651121395514418,0.7777777777777778,0.5806754221388368,45,7,0,0,0,0
510148,2025-04-29,88.92,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,620,62.79,118.97,0.4651121395514418,0.7777777777777778,0.5816135084427767,45,7,0,0,0,0
510148,2025-04-30,88.6,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,621,62.79,118.97,0.4594161623353506,0.7777777777777778,0.5825515947467167,45,7,0,0,0,0
510148,2025-05-01,88.6,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,622,62.79,118.97,0.4594161623353506,0.7777777777777778,0.5834896810506567,45,7,0,0,0,0
510148,2025-05-02,88.6,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,623,62.79,118.97,0.4594161623353506,0.7777777777777778,0.5844277673545967,45,7,0,0,0,0
510148,2025-05-03,88.6,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,624,62.79,118.97,0.4594161623353506,0.7777777777777778,0.5853658536585366,45,7,0,0,0,0
510148,2025-05-04,88.6,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,625,62.79,118.97,0.4594161623353506,0.7777777777777778,0.5863039399624765,45,7,0,0,0,0
510148,2025-05-05,88.6,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,626,62.79,118.97,0.4594161623353506,0.7777777777777778,0.5872420262664165,45,7,0,0,0,0
510148,2025-05-06,88.6,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,627,62.79,118.97,0.4594161623353506,0.7777777777777778,0.5881801125703565,45,7,0,0,0,0
510148,2025-05-07,88.6,Hades,The First Chapter,Enchanted,2023-08-18,8,0,Amber,628,62.79,118.97,0.4594161623353506,0.7777777777777778,0.5891181988742964,45,7,0,0,0,0
